ticker,date,open,high,low,close,volume
HYG,2024-01-02,67.130307884,67.226602605,67.051521294,67.130307884,41547130
HYG,2024-01-03,66.771391196,67.086537556,66.622572081,66.946472507,39495486
HYG,2024-01-04,66.850177786,66.928964376,66.666342409,66.68385054,32856117
HYG,2024-01-05,66.666342409,67.016505032,66.622572081,66.736374934,31158547
HYG,2024-01-08,66.753883065,67.165324146,66.753883065,67.112799753,33479298
HYG,2024-01-09,67.025259097,67.292258097,66.977111736,67.217848539,25593507
HYG,2024-01-10,67.375421719,67.44632965,67.261618867,67.340405457,35702831
HYG,2024-01-11,67.322897326,67.568011162,67.165324146,67.559257096,35947081
HYG,2024-01-12,67.61178149,67.821879063,67.568011162,67.629289621,31155547
HYG,2024-01-16,67.497978637,67.497978637,67.130307884,67.200340408,43669862
HYG,2024-01-17,67.086537556,67.086537556,66.780145261,66.911456245,54160827
HYG,2024-01-18,67.007750966,67.060275359,66.885194048,67.051521294,34837591
HYG,2024-01-19,67.07778349,67.165324146,66.823915589,67.165324146,44359676
HYG,2024-01-22,67.174078212,67.392929851,67.174078212,67.217848539,36759075
HYG,2024-01-23,67.182832277,67.235356671,67.038390195,67.139061949,24561528
HYG,2024-01-24,67.366667654,67.388552818,67.042767228,67.104045687,27623281
HYG,2024-01-25,67.340405457,67.620535555,67.279126998,67.620535555,48268844
HYG,2024-01-26,67.585519293,67.69056808,67.5329949,67.568011162,26232807
HYG,2024-01-29,67.594273358,67.73871544,67.515486768,67.716830276,25924876
HYG,2024-01-30,67.716830276,67.743092473,67.476093473,67.629289621,32339763
HYG,2024-01-31,67.629289621,67.804370932,67.392929851,67.436700178,55548910
HYG,2024-02-01,67.642415606,67.888749762,67.44886734,67.827166223,48019339
HYG,2024-02-02,67.39608145,67.602826188,67.387283801,67.519248528,42727539
HYG,2024-02-05,67.308104965,67.356492032,67.052973161,67.202533184,51908591
HYG,2024-02-06,67.237723778,67.550040297,67.237723778,67.44886734,32948258
HYG,2024-02-07,67.589629715,67.616022661,67.369688504,67.56323677,42954180
HYG,2024-02-08,67.510450879,67.616022661,67.457664989,67.528046176,25548363
HYG,2024-02-09,67.572034419,67.712796794,67.475260286,67.668808551,33951407
HYG,2024-02-12,67.642415606,67.756785036,67.501653231,67.519248528,36249193
HYG,2024-02-13,67.061770809,67.176140239,66.859424895,66.973794325,69904162
HYG,2024-02-14,67.16734259,67.343295559,67.1145567,67.237723778,38603079
HYG,2024-02-15,67.352093208,67.55223971,67.303706141,67.475260286,44320098
HYG,2024-02-16,67.290509668,67.360890856,67.193735536,67.272914372,50323058
HYG,2024-02-20,67.255319075,67.464263225,67.193735536,67.413676747,31994119
HYG,2024-02-21,67.404879098,67.457664989,67.189336711,67.290509668,38724694
HYG,2024-02-22,67.484057934,67.624820309,67.440069692,67.616022661,45450170
HYG,2024-02-23,67.6776062,67.756785036,67.607225012,67.660010903,24686933
HYG,2024-02-26,67.633617958,67.660010903,67.418075571,67.440069692,32795287
HYG,2024-02-27,67.484057934,67.528046176,67.39608145,67.528046176,30926584
HYG,2024-02-28,67.484057934,67.59402854,67.440069692,67.519248528,24667641
HYG,2024-02-29,67.616022661,67.765582684,67.56323677,67.642415606,43322400
HYG,2024-03-01,67.676240766,67.923978857,67.543523931,67.89743549,39342931
HYG,2024-03-04,67.844348756,67.937339018,67.760294761,67.879739912,21607290
HYG,2024-03-05,67.879739912,68.047847902,67.791262022,67.826653178,38076854
HYG,2024-03-06,68.003608958,68.100934636,67.89743549,67.994761169,34335252
HYG,2024-03-07,68.171716948,68.189412526,68.021304536,68.074391269,30392958
HYG,2024-03-08,68.171716948,68.384063883,68.083239058,68.092086847,38317905
HYG,2024-03-11,68.039000113,68.118630214,68.003608958,68.083239058,27177637
HYG,2024-03-12,68.189412526,68.189412526,67.968217802,68.145173581,33351679
HYG,2024-03-13,68.092086847,68.339824938,68.092086847,68.171716948,28482239
HYG,2024-03-14,68.15402137,68.189412526,67.764718655,67.844348756,46677232
HYG,2024-03-15,67.8089576,67.946098329,67.702784133,67.800109811,53985269
HYG,2024-03-18,67.977065591,68.021304536,67.89743549,67.959370013,34649316
HYG,2024-03-19,67.941674435,68.251347049,67.932826646,68.233651471,41841514
HYG,2024-03-20,68.215955893,68.490237351,68.15402137,68.463693984,36886700
HYG,2024-03-21,68.578715241,68.58756303,68.339824938,68.428302828,34693272
HYG,2024-03-22,68.454846195,68.521204612,68.322129361,68.357520516,26955653
HYG,2024-03-25,68.233651471,68.330977149,68.215955893,68.251347049,29373177
HYG,2024-03-26,68.330977149,68.335401044,68.15402137,68.171716948,28522175
HYG,2024-03-27,68.339824938,68.534476296,68.264618732,68.534476296,28891129
HYG,2024-03-28,68.445998406,68.552171874,68.375216094,68.384063883,31546685
HYG,2024-04-01,68.397501229,68.397501229,68.07735348,68.10403246,47857447
HYG,2024-04-02,67.872814641,68.006209536,67.837242669,67.98842355,45551171
HYG,2024-04-03,67.890600627,68.07735348,67.828349676,68.041781508,29542266
HYG,2024-04-04,68.184069397,68.28189232,67.890600627,67.98842355,36056390
HYG,2024-04-05,67.935065592,68.023995522,67.89949362,67.926172599,30857333
HYG,2024-04-08,67.935065592,68.121818446,67.890600627,68.086246474,31067770
HYG,2024-04-09,68.19296239,68.290785313,68.10403246,68.228534362,32219161
HYG,2024-04-10,67.774991718,67.872814641,67.463736962,67.623810836,76623939
HYG,2024-04-11,67.650489816,67.694954781,67.379253528,67.561559885,50835985
HYG,2024-04-12,67.534880906,67.570452878,67.419271997,67.525987913,41441686
HYG,2024-04-15,67.597131857,67.597131857,67.054659283,67.13469622,55560391
HYG,2024-04-16,67.116910234,67.116910234,66.832334458,66.912371395,55746080
HYG,2024-04-17,67.099124248,67.228072647,66.939050374,67.001301325,48158768
HYG,2024-04-18,67.001301325,67.099124248,66.876799423,67.054659283,40291457
HYG,2024-04-19,67.116910234,67.268091116,67.108017241,67.179161185,54739531
HYG,2024-04-22,67.321449074,67.579345871,67.294770095,67.552666892,40772743
HYG,2024-04-23,67.614917843,67.872814641,67.534880906,67.828349676,43554430
HYG,2024-04-24,67.792777704,67.819456683,67.525987913,67.677168795,40496454
HYG,2024-04-25,67.268091116,67.552666892,67.116910234,67.534880906,46371567
HYG,2024-04-26,67.525987913,67.783884711,67.525987913,67.748312739,34500807
HYG,2024-04-29,67.837242669,67.952851578,67.792777704,67.952851578,33157790
HYG,2024-04-30,67.730526753,67.872814641,67.454843969,67.454843969,49937494
HYG,2024-05-01,67.508304311,68.111743682,67.490424626,67.812258957,71484665
HYG,2024-05-02,67.982115965,68.250311242,67.852488249,68.232431557,41497867
HYG,2024-05-03,68.581085416,68.795641637,68.393348722,68.518506518,44204422
HYG,2024-05-06,68.598965101,68.652604156,68.554265888,68.598965101,29547245
HYG,2024-05-07,68.679423684,68.697303369,68.469337384,68.607904943,34064071
HYG,2024-05-08,68.438047935,68.500626833,68.402288565,68.446987778,22959482
HYG,2024-05-09,68.411228407,68.500626833,68.321829982,68.464867463,24590943
HYG,2024-05-10,68.45592762,68.473807305,68.277130769,68.357589352,24633831
HYG,2024-05-13,68.500626833,68.500626833,68.312890139,68.339709667,22109775
HYG,2024-05-14,68.375469037,68.473807305,68.357589352,68.446987778,27292330
HYG,2024-05-15,68.670483841,68.858220534,68.616844786,68.849280692,56544376
HYG,2024-05-16,68.858220534,68.858220534,68.679423684,68.688363526,31749760
HYG,2024-05-17,68.643664313,68.724122896,68.590025258,68.697303369,31550274
